Name,Address,Latitude,Longitude,Rating
Wendy's,"2033 N Prospect Ave, Champaign",40.1403048,-88.25840600000001,3.4
Five Guys,"901 B Anthony Dr, Champaign",40.1377298,-88.25861789999999,4
Chick-fil-A,"2301 N Prospect Ave, Champaign",40.1438671,-88.2583415,4.5
Sonic Drive-In,"601 N Mattis Ave, Champaign",40.1213748,-88.2772906,4
Dairy Queen Grill & Chill,"911 W University Ave, Urbana",40.1161399,-88.2202846,4.2
McDonald's,"1812 N Neil St, Champaign",40.1375696,-88.2430711,3.5
Windy City Express,"410 N Race St, Urbana",40.1162398,-88.2086908,4.4
Wendy's,"505 N Cunningham Ave, Urbana",40.1172455,-88.2050979,3.6
McDonald's,"501 N Mattis Ave, Champaign",40.120572,-88.27742099999999,3.4
Sonic Drive-In,"101 Calvin St, Savoy",40.0583309,-88.2513914,4.1
McDonald's,"1705 S Philo Rd, Urbana",40.0973689,-88.19119940000002,3.3
McDonald's,"616 E Green St, Champaign",40.11043,-88.22983599999999,3.5
Wienerschnitzel,"2102 W Springfield Ave, Champaign",40.113216,-88.28309899999999,4.3
McDonald's,"4910 N Market St, Champaign",40.178005,-88.24026599999999,3.4
McDonald's,"906 W Bloomington Rd, Champaign",40.13351550000001,-88.2595691,3.1
Dairy Queen Grill & Chill,"3602 N Mattis Ave, Champaign",40.1585607,-88.2762676,4
Burger King,"1106 W University Ave, Urbana",40.1166486,-88.2231063,3.4
Arby's,"2310 S Neil St, Champaign",40.0846899,-88.2462779,4
McDonald's,"601 N Cunningham Ave, Urbana",40.1182515,-88.20443069999999,3.4
McDonald's,"1605 S Neil St, Champaign",40.0975207,-88.245239,3.3
Taco Bell,"10 E Anthony Dr, Champaign",40.1369396,-88.2426797,3.9
Portillo's Champaign,"2306 N Prospect Ave, Champaign",40.144219,-88.25699399999999,4.3
Arby's,"509 N Cunningham Ave, Urbana",40.1178708,-88.2047729,4
Taco Bell,"1707 S Neil St, Champaign",40.0954404,-88.245572,3.6
Freddy's Frozen Custard & Steakburgers,"420 W Town Center Blvd, Champaign",40.1423643,-88.25008040000002,4.1
McDonald's,"2909 W Kirby Ave, Champaign",40.097918,-88.2938167,3.2
Burger King,"2110 N Prospect Ave, Champaign",40.1421133,-88.2572079,3.3
Taco Bell,"512 E Green St, Champaign",40.1104081,-88.2313903,3.2
Taco Bell,"1003 University, Urbana",40.1162192,-88.2211233,3.7
Burger King,"2105 W Springfield Ave, Champaign",40.112516,-88.28149359999999,3.2
Arby's,"1913 W Springfield Ave, Champaign",40.11241649999999,-88.2794643,3.9
Burger King,"1708 Philo Rd, Urbana",40.0974413,-88.1902854,3.3
Culver’s,"201 W University Ave, Urbana",40.1160827,-88.2095823,4.5
Raising Cane's Chicken Fingers,"411 E Green St, Champaign",40.1100869,-88.2323081,4.3
Culver’s,"903 W Marketview Dr, Champaign",40.1378523,-88.2596915,4.3
Burger King,"1325 N Dunlap Ave, Savoy",40.0713793,-88.24928729999999,3.4
Culver’s,"2302 S Neil St, Champaign",40.0854564,-88.2462154,4.4
Dairy Queen,"1501 Lyndhurst Alley, Savoy",40.0736198,-88.25105219999999,3.8
Meatheads,"1305 S Neil St, Champaign",40.1013607,-88.2443634,4.4
Raising Cane's Chicken Fingers,"2121 N Prospect Ave, Champaign",40.1421807,-88.2583676,4.1
Slim Chickens,"2037 S Neil St, Champaign",40.0905946,-88.2463954,3.9
Fat Sandwich Company,"502 E John St, Champaign",40.1091736,-88.23152449999999,4.2
Jimmy John's,"43 E Green St, Champaign",40.1098262,-88.2408122,3.9
Popeyes Louisiana Kitchen,"910 W Bloomington Rd, Champaign",40.1335454,-88.26008709999999,2.9
Steak 'n Shake,"1709 S Neil St, Champaign",40.0949553,-88.2458521,3.6
KFC,"410 W University Ave, Urbana",40.1167647,-88.2122393,3.4
Jurassic Grill Champaign,"404 E Green St #5866, Champaign",40.1104198,-88.233198,4.2
KFC,"2201 W Springfield Ave, Champaign",40.1125496,-88.2844124,3.1
Tastee Freez,"2102 W Springfield Ave, Champaign",40.1131719,-88.28313620000002,4.1
Chipotle Mexican Grill,"528 E Green St, Champaign",40.11042399999999,-88.2306421,3.6
Subway,"706 W Marketview Dr Suite C, Champaign",40.1378838,-88.2555654,3.9
Subway,"1403 S Neil St, Champaign",40.0996984,-88.24476609999999,3.6
Big J J Fish & Chicken,"1114 N Market St, Champaign",40.1269433,-88.2386034,4.3
Taco Bell,"2003 W Springfield Ave, Champaign",40.112424,-88.280937,3.7
KFC,"1321 N Dunlap Ave, Savoy",40.0707098,-88.2494605,3.2
Subway,"616 E Green St Suite A, Champaign",40.1104989,-88.22965649999999,4
Subway,"1101 N Mattis Ave, Champaign",40.1268507,-88.27752919999999,4.1
Subway,"2409 Village Green Pl, Champaign",40.0835922,-88.2967546,4.3
Steak 'n Shake,"2010 N Prospect Ave, Champaign",40.1404083,-88.2573353,3.9
Krispy Krunchy Chicken,"922 W Bradley Ave, Champaign",40.1275039,-88.26037559999999,4.6
